unit_nr,T24,T30,T50,P15,P30,Nf,Nc,epr,Ps30,BPR,htBleed,W31,W32,T,E
1,642.36,1583.23,1396.84,21.61,553.97,2387.96,9062.17,1.3,47.3,8.4246,391,39.11,23.3537,258.0,True
1,642.5,1584.69,1396.89,21.61,554.55,2388.0,9061.78,1.3,47.23,8.4403,392,38.99,23.4491,257.0,True
1,642.18,1582.35,1405.61,21.61,554.43,2388.03,9070.23,1.3,47.22,8.3901,391,38.85,23.3669,256.0,True
1,642.92,1585.61,1392.27,21.61,555.21,2388.0,9064.57,1.3,47.24,8.3878,392,38.96,23.2951,255.0,True
1,641.68,1588.63,1397.65,21.61,554.74,2388.04,9076.14,1.3,47.15,8.3869,392,39.14,23.4583,254.0,True
1,642.24,1584.09,1400.01,21.61,554.75,2388.0,9074.98,1.3,47.07,8.4152,393,38.92,23.4281,253.0,True
1,642.58,1585.61,1401.09,21.61,554.58,2388.04,9074.65,1.3,47.38,8.3842,391,38.84,23.4087,252.0,True
1,642.32,1588.32,1397.08,21.6,554.85,2388.06,9063.54,1.3,47.31,8.419,391,39.05,23.459,251.0,True
1,641.64,1587.81,1406.51,21.61,554.13,2388.04,9067.2,1.3,47.31,8.4091,392,38.99,23.4693,250.0,True
1,642.42,1587.39,1402.25,21.61,554.78,2387.99,9070.04,1.3,47.35,8.3987,391,38.94,23.4781,249.0,True
1,642.28,1582.38,1391.88,21.61,554.3,2388.01,9068.24,1.3,47.35,8.4235,392,38.97,23.4127,248.0,True
1,641.88,1583.24,1397.74,21.6,554.35,2388.04,9075.26,1.3,47.26,8.359,392,39.09,23.366,247.0,True
1,641.92,1589.68,1395.55,21.61,554.52,2387.98,9066.53,1.3,47.14,8.3821,391,39.04,23.4273,246.0,True
1,642.66,1587.29,1400.9,21.61,555.17,2388.02,9067.34,1.3,47.28,8.4277,390,39.03,23.386,245.0,True
1,642.34,1580.8,1396.5,21.61,553.96,2387.95,9069.89,1.3,47.29,8.4007,390,39.02,23.4556,244.0,True
1,641.68,1587.32,1395.49,21.6,553.82,2388.02,9071.14,1.3,47.14,8.4197,391,38.96,23.3717,243.0,True
1,641.9,1591.12,1395.08,21.61,555.06,2388.0,9060.74,1.3,47.0,8.3761,393,39.04,23.3718,242.0,True
1,642.39,1578.96,1402.24,21.61,554.21,2387.97,9075.87,1.3,47.2,8.4205,392,39.12,23.5448,241.0,True
1,642.3,1584.04,1398.85,21.61,554.59,2387.98,9074.41,1.3,47.16,8.3727,391,39.01,23.408,240.0,True
1,642.26,1579.65,1395.59,21.61,554.49,2387.97,9071.28,1.3,47.16,8.4252,391,38.87,23.4903,239.0,True
